id,dam,sire,sex
651971,646772,646761,M
651131,646792,646781,M
651141,646802,646791,M
651101,646762,646751,M
651091,646752,647091,M
656091,647092,647081,M
651121,646782,646771,M
651161,646822,646811,M
651221,646962,646951,M
657921,649581,646961,M
651181,647112,647101,M
651191,646932,647111,M
651201,646942,646931,M
651211,646952,646941,M
651081,647092,647081,M
652721,652282,652271,M
651231,652582,646961,M
651151,646812,646801,M
651071,650301,652291,M
650941,646622,646611,M
651051,646732,646721,M
654332,652582,652281,F
651382,649961,649721,F
656891,649961,649721,F
651262,647012,647001,F
651272,647122,647011,F
651372,647132,647121,F
651282,647022,647131,F
651302,647042,648291,F
651312,647142,647041,F
651322,647152,647141,F
651332,647162,647151,F
651342,647172,647161,F
651951,646742,646731,M
655812,647172,647161,F
655772,646762,646751,F
651441,646602,646591,M
650931,646612,646601,M
650951,646632,646621,M
651171,647102,646821,M
650961,646642,646631,M
650971,646652,646641,M
652361,646682,646671,M
651011,646692,646681,M
651021,646702,646691,M
651031,646712,646701,M
651041,646722,646711,M
654112,646592,647171,F
651241,646982,648331,M
650952,646632,646621,F
654331,652582,652281,M
656102,646812,646801,F
651152,646812,646801,F
651142,646802,646791,F
651132,646792,646781,F
651122,646782,646771,F
651112,646772,646761,F
654712,646762,646751,F
651102,646762,646751,F
651092,646752,647091,F
651082,647092,647081,F
651072,650301,652291,F
651062,646742,646731,F
651052,646732,646721,F
651042,646722,646711,F
651032,646712,646701,F
651022,646702,646691,F
651012,646692,646681,F
652362,646682,646671,F
650992,646672,646661,F
650972,646652,646641,F
650962,646642,646631,F
651162,646822,646811,F
651982,647102,646821,F
651182,647112,647101,F
651192,646932,647111,F
651381,649961,649721,M
651261,647012,647001,M
651271,647122,647011,M
651371,647132,647121,M
654741,647022,647131,M
652901,648292,647021,M
657311,650301,652291,M
651242,646982,648331,F
650942,646622,646611,F
651301,647042,648291,M
652501,646992,646981,M
651442,646602,646591,F
651321,647152,647141,M
651331,647162,647151,M
654761,647172,647161,M
654111,646592,647171,M
650932,646612,646601,F
651232,649581,646961,F
654142,652282,652271,F
651222,646962,646951,F
651212,646952,646941,F
651202,646942,646931,F
651311,647142,647041,M
651252,646992,646981,F
