id,dam,sire,sex
741872,738062,737561,F
742082,737832,738781,F
741151,736982,736871,M
741931,738782,736651,M
741461,736882,737201,M
741481,736862,737321,M
741471,738742,738531,M
741331,737562,738061,M
741681,737192,736741,M
741971,737252,737831,M
741131,737182,737451,M
742281,737232,736671,M
741171,737412,737251,M
741921,738532,737241,M
741671,737352,736731,M
741141,736992,736931,M
741161,736972,737011,M
741641,737822,737271,M
742061,737262,738751,M
741261,737472,737401,M
741801,737282,737821,M
741411,737362,737051,M
741691,737322,736861,M
741651,738752,738581,M
741991,737702,736691,M
742031,737372,738741,M
741771,737272,736761,M
741271,737442,737342,M
742011,737672,736911,M
741121,737332,737311,M
741441,737452,737041,M
742071,737852,736891,M
742081,737832,738781,M
741431,737052,737351,M
741961,738041,736921,M
741911,736932,737431,M
741791,736922,737281,M
741421,736912,737231,M
741221,737343,737411,M
742051,737242,737851,M
741881,736872,737361,M
741561,737402,737671,M
741111,736892,736981,M
741281,737202,737261,M
741451,737062,736681,M
741351,737422,737061,M
742041,736712,737421,M
742001,736762,737841,M
742173,737312,737441,M
741941,736752,737331,M
742361,736692,737471,M
741951,737682,736751,M
741981,736682,737681,M
742321,736652,737181,M
741401,736662,737191,M
741251,737042,736991,M
741361,736732,737221,M
742021,736702,737701,M
741661,737432,736661,M
741891,736672,737371,M
741551,736722,736971,M
743391,739931,736711,M
741231,736902,736721,M
741341,736742,736881,M
741871,738062,737561,M
741211,737012,736901,M
741892,736672,737371,F
741772,737272,736761,F
742032,737372,738741,F
741992,737702,736691,F
741652,738752,738581,F
741692,737322,736861,F
741412,737362,737051,F
741802,737282,737821,F
741262,737472,737401,F
742062,737262,738751,F
742072,737852,736891,F
741642,737822,737271,F
741962,738041,736921,F
741672,737352,736731,F
741272,737442,737342,F
741922,738532,737241,F
742282,737232,736671,F
741132,737182,737451,F
741972,737252,737831,F
741682,737192,736741,F
741332,737562,738061,F
741472,738742,738531,F
741932,738782,736651,F
741462,736882,737201,F
741482,736862,737321,F
741432,737052,737351,F
741152,736982,736871,F
741552,736722,736971,F
742174,737312,737441,F
741172,737412,737251,F
742012,737672,736911,F
741142,736992,736931,F
741442,737452,737041,F
741122,737332,737311,F
741662,737432,736661,F
741362,736732,737221,F
741252,737042,736991,F
741402,736662,737191,F
742322,736652,737181,F
741982,736682,737681,F
741952,737682,736751,F
742362,736692,737471,F
742022,736702,737701,F
741942,736752,737331,F
742002,736762,737841,F
742042,736712,737421,F
741352,737422,737061,F
741342,736742,736881,F
742371,737202,737261,F
741232,736902,736721,F
741452,737062,736681,F
741212,737012,736901,F
741162,736972,737011,F
741912,736932,737431,F
741792,736922,737281,F
743392,739931,736711,F
741222,737343,737411,F
742052,737242,737851,F
741882,736872,737361,F
741562,737402,737671,F
741112,736892,736981,F
741422,736912,737231,F
