id,dam,sire,sex
727981,726266,726601,M
729791,726222,726881,M
727901,726651,726201,M
728081,725936,726191,M
728091,725955,725391,M
727991,725964,726241,M
729101,726014,725292,M
728011,726672,725271,M
727921,726202,725945,M
728031,726252,726561,M
728051,726682,726181,M
729071,726182,725251,M
727911,726192,726211,M
729521,726882,725301,M
728061,726692,725915,M
729361,726892,725963,M
727971,725916,725954,M
727933,726212,725383,M
728021,726232,726321,M
727891,726632,726681,M
727783,725336,726013,M
727951,725442,725973,M
729351,726902,726501,M
728071,725262,726631,M
727723,725272,726231,M
727733,726322,725351,M
727743,725291,725935,M
727753,725302,725405,M
727763,725311,725435,M
727771,725322,725375,M
727831,725346,725321,M
727791,725352,725261,M
727841,725364,725441,M
727801,725376,726221,M
727851,725384,726671,M
727941,725392,726251,M
729031,725392,726251,M
729051,725406,725363,M
730201,725415,726891,M
727871,725424,726691,M
727813,725436,725335,M
727883,726602,726265,M
727823,726242,725312,M
727992,725964,726241,F
728072,725262,726631,F
727982,726266,726601,F
727902,726651,726201,F
728082,725936,726191,F
728092,725955,725391,F
729102,726014,725292,F
728012,726672,725271,F
728022,726232,726321,F
728032,726252,726561,F
729792,726222,726881,F
728052,726682,726181,F
727912,726192,726211,F
727922,726202,725945,F
729522,726882,725301,F
728062,726692,725915,F
729362,726892,725963,F
727934,726212,725383,F
729352,726902,726501,F
727824,726242,725312,F
729072,726182,725251,F
727972,725916,725954,F
727892,726632,726681,F
727884,726602,726265,F
727724,725272,726231,F
727734,726322,725351,F
728711,725291,725935,F
727754,725302,725405,F
729451,725311,725435,F
727772,725322,725375,F
727784,725336,726013,F
727832,725346,725321,F
727792,725352,725261,F
727842,725364,725441,F
727802,725376,726221,F
727852,725384,726671,F
727942,725392,726251,F
729032,725392,726251,F
729052,725406,725363,F
730202,725415,726891,F
727872,725424,726691,F
727814,725436,725335,F
727952,725442,725973,F
728661,725252,725345,F
727715,725252,725345,M
