id,dam,sire,sex
722442,709162,711101,M
722402,711102,709261,M
722452,708912,709233,M
722821,708672,708931,M
722531,694582,694571,M
722332,708932,708991,M
722272,710772,708901,M
722611,700712,700661,M
722571,695142,696251,M
722762,709262,708711,M
722581,694612,694191,M
722133,703532,703521,M
722661,700692,700671,M
722432,709052,716871,M
722501,694632,696311,M
722202,700652,701071,M
722782,709102,708801,M
717712,694102,696301,M
722651,701032,701051,M
718203,694662,694091,F
718223,693242,694121,F
722242,709182,708731,M
717992,693162,695121,M
717722,694552,694151,M
717952,695162,694491,M
718392,700802,701121,M
718192,693192,694041,M
718231,697642,693191,M
718222,693242,694121,M
718202,694662,694091,M
718372,701012,699751,M
718362,701052,700821,M
718652,699742,700701,M
718292,699662,700981,M
718272,700812,699601,M
717942,694172,695151,M
718064,699702,700731,M
718351,700722,699721,M
718301,700982,699651,M
718382,701092,701131,M
718342,699582,700711,M
718232,697642,693191,F
718242,694542,694661,M
718322,701072,700721,M
718282,700942,699621,M
718124,710511,710391,M
717964,694672,694031,M
718243,694542,694661,F
718653,699742,700701,F
718393,700802,701121,F
722134,703532,703521,F
722243,709182,708731,F
722433,709052,716871,F
722612,700712,700661,F
722102,710321,709811,F
722273,710772,708901,F
722822,708672,708931,F
722532,694582,694571,F
722763,709262,708711,F
722333,708932,708991,F
722443,709162,711101,F
722453,708912,709233,F
722403,711102,709261,F
723011,713492,713431,M
733112,720172,713771,M
722924,713592,713911,M
733065,713912,713881,M
733061,713912,713881,F
722921,713592,713911,F
723013,713492,713431,F
733113,720172,713771,F
722783,709102,708801,F
718212,694032,693171,F
722203,700652,701071,F
722652,701032,701051,F
718343,699582,700711,F
718373,701012,699751,F
717943,694172,695151,F
718193,693192,694041,F
718302,700982,699651,F
718323,701072,700721,F
717713,694102,696301,F
717953,695162,694491,F
717723,694552,694151,F
718065,699702,700731,F
718125,710511,710391,F
717993,693162,695121,F
718283,700942,699621,F
718363,701052,700821,F
718043,699652,703531,F
718383,701092,701131,F
717965,694672,694031,F
718293,699662,700981,F
722582,694612,694191,F
722502,694632,696311,F
722572,695142,696251,F
722662,700692,700671,F
722101,710321,709811,M
