id,dam,sire,sex
663031,659562,658891,M
663121,659162,658901,M
663711,659142,659051,M
663131,659152,659061,M
663361,659282,659511,M
663371,659292,659521,M
663041,658852,659071,M
663141,658872,659081,M
663151,659312,659091,M
663161,659322,659101,M
663051,658862,659121,M
663391,659342,660281,M
663171,658892,659151,M
663411,659262,659161,M
663181,659062,659261,M
666771,661582,659271,M
663191,659092,659281,M
663421,658812,659291,M
663431,660832,659301,M
666191,658812,659291,M
666301,659092,659281,M
663381,659302,659111,M
663401,659332,659141,M
663081,658882,659571,M
666371,659352,658811,M
663751,659052,659561,M
663071,658832,659551,M
663741,659502,659541,M
663731,660282,659531,M
664021,658802,661581,M
664831,664182,664511,M
663721,659112,659911,M
663871,663571,661761,M
663211,659102,659351,M
663201,658792,659341,M
663461,659572,659331,M
663451,659272,659321,M
666372,659352,658811,M
667681,659912,658831,M
667581,659072,658851,M
666471,659122,658881,M
663021,659122,658881,M
666001,659562,658891,M
666141,659162,658901,M
666251,659152,659061,M
666011,659282,659511,M
666021,659292,659521,M
666381,658852,659071,M
666041,659322,659101,M
666262,659302,659111,M
666282,659342,660281,M
666761,659342,660281,M
666772,661582,659271,M
663441,659512,659311,M
665161,664202,664611,M
663011,659552,658871,M
664251,659532,658861,M
666052,660832,659301,F
666182,659062,659261,F
663412,659262,659161,F
666172,659332,659141,F
663402,659332,659141,F
663392,659342,660281,F
663052,658862,659121,F
663382,659302,659111,F
667902,659322,659101,F
663162,659322,659101,F
666162,659312,659091,F
663152,659312,659091,F
666392,658872,659081,F
666082,658802,661581,F
663142,658872,659081,F
663042,658852,659071,F
663372,659292,659521,F
666012,659282,659511,F
663352,659352,658811,F
665322,664912,664601,F
663112,659912,658831,F
662982,661022,658841,F
662992,659072,658851,F
663002,659532,658861,F
665112,659062,659261,F
663012,659552,658871,F
663032,659562,658891,F
663122,659162,658901,F
663712,659142,659051,F
666152,659142,659051,F
663132,659152,659061,F
663362,659282,659511,F
663022,659122,658881,F
664542,659082,658801,F
664012,661582,659271,F
663422,658812,659291,F
662991,659072,658851,M
662981,661022,658841,M
663111,659912,658831,M
665321,664912,664601,M
663351,659352,658811,M
663101,659082,658801,M
665151,664472,664861,M
666823,658892,659151,F
667652,658882,659571,F
663082,658882,659571,F
663752,659052,659561,F
666702,658832,659551,F
663072,658832,659551,F
666692,659502,659541,F
663742,659502,659541,F
666583,660282,659531,F
663732,660282,659531,F
663432,660832,659301,F
666412,660832,659301,F
663442,659512,659311,F
663452,659272,659321,F
668372,659572,659331,F
666422,659572,659331,F
663192,659092,659281,F
663202,658792,659341,F
663212,659102,659351,F
663872,663571,661761,F
663722,659112,659911,F
665892,659112,659911,F
664832,664182,664511,F
664022,658802,661581,F
666062,658792,659341,F
665152,664472,664861,F
665162,664202,664611,F
