id,dam,sire,sex
723982,717723,718272,F
723862,718223,717992,M
724571,722102,722581,F
724481,722612,722571,F
723422,722433,722402,F
723412,722243,722452,F
723401,722134,722821,F
723911,718203,717712,M
723382,722203,722762,F
723372,722662,722332,F
723362,722652,722272,F
724641,722572,722611,F
723342,722502,722531,F
723332,722582,722101,F
723952,718293,718392,F
724091,717965,718192,F
724002,718383,718231,F
724041,718043,718222,F
724031,718363,718202,F
725032,718283,718372,F
724052,717993,718362,F
724111,718125,718652,F
724072,718065,718292,F
723972,717953,717942,F
724141,717713,718064,F
724541,722273,722242,F
723192,718323,718351,F
724551,722822,722661,F
724651,722763,722501,F
724762,722403,722651,F
733091,733081,733071,M
733171,733151,733161,M
733401,733391,733381,M
733521,733511,733501,M
733192,733181,722891,M
733272,733261,722901,M
733602,733292,733591,M
733123,733111,733102,M
733472,722923,733461,M
733422,733411,733063,M
733121,733111,733102,F
733191,733181,722891,F
733271,733261,722901,F
733421,733411,733063,F
733471,722923,733461,F
733601,733292,733591,F
733172,733151,733161,F
733402,733391,733381,F
733092,733081,733071,F
724751,722453,722133,F
723502,722443,722782,F
724472,722333,722202,F
724466,722532,722432,F
723842,718653,718301,F
723391,722783,722442,F
723772,717943,717722,F
723331,722582,722101,M
723951,718293,718392,M
724092,717965,718192,M
724001,718383,718231,M
724042,718043,718222,M
724021,718363,718202,M
725031,718283,718372,M
724051,717993,718362,M
724112,718125,718652,M
724071,718065,718292,M
723981,717723,718272,M
723971,717953,717942,M
724131,717713,718064,M
723191,718323,718351,M
723841,718653,718301,M
723801,718193,718342,M
723771,717943,717722,M
723802,718193,718342,F
723131,718343,718322,M
723701,718393,718282,M
723872,718212,718124,M
723622,718243,717952,M
723931,718232,717964,M
723341,722502,722531,M
723354,722572,722611,M
723712,718373,718242,M
723371,722662,722332,M
723361,722652,722272,M
723711,718373,718242,F
723132,718343,718322,F
723871,718212,718124,F
723621,718243,717952,F
723932,718232,717964,F
723861,718223,717992,F
723912,718203,717712,F
724761,722403,722651,M
723515,722453,722133,M
723501,722443,722782,M
723702,718393,718282,F
724652,722763,722501,M
724471,722333,722202,M
723392,722783,722442,M
723381,722203,722762,M
723411,722243,722452,M
723421,722433,722402,M
723402,722134,722821,M
724572,722102,722581,M
724542,722273,722242,M
724552,722822,722661,M
724465,722532,722432,M
724482,722612,722571,M
