id,dam,sire,sex
647042,643312,643301,F
647142,643322,643311,F
647081,644872,645561,M
647162,643342,643331,F
648292,643302,643291,F
647152,643332,643321,F
647022,643292,644871,F
649961,643252,643241,F
647132,644872,645561,F
647122,645562,643261,F
647012,643262,643251,F
647172,643822,643341,F
647002,643252,643241,F
646992,643242,643231,F
650751,644872,645561,F
646591,645532,642681,M
646641,642742,642731,M
649981,642702,645531,M
646741,642842,642831,M
646731,642832,642821,M
646721,642822,642811,M
646711,642812,642801,M
652282,643232,643221,F
646701,642802,642791,M
646601,642702,645531,M
646691,642792,642781,M
646671,642772,642761,M
646661,642762,642751,M
646651,642752,642741,M
646631,642732,642721,M
646621,642722,642711,M
646611,642712,642701,M
646681,642782,642771,M
646982,643232,643221,F
646792,642912,642901,F
649581,647992,647741,F
646722,642822,642811,F
646712,642812,642801,F
646702,642802,642791,F
646692,642792,642781,F
646682,642782,642771,F
646672,642772,642761,F
646662,642762,642751,F
646652,642752,642741,F
646642,642742,642731,F
646632,642732,642721,F
646622,642722,642711,F
649991,642712,642701,F
646612,642712,642701,F
646602,642702,645531,F
646592,645532,642681,F
646732,642832,642821,F
652582,647992,647741,F
646742,642842,642831,F
650301,645432,642841,F
646962,643212,643201,F
646952,643202,643191,F
646942,643192,643181,F
646932,643182,643171,F
647112,643172,645351,F
647102,645352,643811,F
646822,643812,643151,F
646812,643152,643141,F
646802,643142,642911,F
647091,642862,645431,M
646782,642902,644191,F
646772,644192,642881,F
646762,642882,642871,F
646752,642872,642861,F
647092,642862,645431,F
647082,645432,642841,F
652081,642862,645431,M
646821,643812,643151,M
646761,642882,642871,M
647161,643342,643331,M
647151,643332,643321,M
647141,643322,643311,M
647041,643312,643301,M
648291,643302,643291,M
652291,643292,644871,M
647021,643292,644871,M
647131,644872,645561,M
650561,645562,643261,M
647121,645562,643261,M
647171,643822,643341,M
647001,643252,643241,M
649721,643242,643231,M
646991,643242,643231,M
652281,643232,643221,M
647011,643262,643251,M
648331,647992,647741,M
646771,644192,642881,M
646781,642902,644191,M
646791,642912,642901,M
646801,643142,642911,M
652251,643142,642911,M
646811,643152,643141,M
647101,645352,643811,M
647111,643172,645351,M
646981,643232,643221,M
646751,642872,642861,M
646931,643182,643171,M
646941,643192,643181,M
646951,643202,643191,M
652271,643202,643191,M
646961,643212,643201,M
