id,dam,sire,sex
678042,673672,672451,F
678032,674102,673551,F
687202,674062,675941,F
678012,675242,672861,F
678002,675322,673641,F
677802,675292,675251,F
678062,675932,679221,F
678072,672461,672061,F
678082,675922,675951,F
678092,675992,674091,F
678102,672852,673651,F
678052,673682,672051,F
677992,673632,675291,F
677942,674082,675281,F
677972,675332,672851,F
677964,677072,677091,F
677952,675252,672841,F
678112,673552,673661,F
677932,676992,673631,F
677922,675901,672831,F
677912,675302,674081,F
680302,675962,675931,F
677892,675972,675271,F
681542,676982,676961,F
677872,672032,675921,F
682452,676932,677071,F
678122,674052,674101,F
678182,677092,677061,F
678142,673662,674111,F
677792,677062,676941,F
677822,673612,675261,F
677832,675912,672821,F
677842,673622,674071,F
677852,674122,672031,F
685702,677082,680741,F
678332,672062,673581,F
678322,675982,675331,F
678312,674112,675991,F
682462,676962,677081,F
678292,672822,677001,F
678132,672012,672462,F
678272,674132,675971,F
678252,675272,673571,F
678242,672052,673681,F
678232,675952,674121,F
679562,672452,673671,F
678212,677002,676991,F
678202,674092,680211,F
678192,680742,676981,F
677812,675942,673621,F
678172,672022,675311,F
678162,673642,675961,F
681552,676942,676971,F
678262,678472,674131,F
680332,672842,675981,F
680292,673652,675241,F
683032,679192,673611,F
680301,675962,675931,M
677911,675302,674081,M
677921,675901,672831,M
677931,676992,673631,M
677941,674082,675281,M
677951,675252,672841,M
677891,675972,675271,M
677963,677072,677091,M
682451,676932,677071,M
677991,673632,675291,M
678001,675322,673641,M
678011,675242,672861,M
687201,674062,675941,M
678031,674102,673551,M
677971,675332,672851,M
681541,676982,676961,M
677871,672032,675921,M
682431,677082,680741,M
677701,674072,680531,M
677711,675312,674051,M
677721,673572,672011,M
677731,672832,675911,M
677741,675282,672021,M
677761,672862,674061,M
677771,679192,673611,M
680291,673652,675241,M
677791,677062,676941,M
677801,675292,675251,M
677811,675942,673621,M
677821,673612,675261,M
677831,675912,672821,M
677841,673622,674071,M
677851,674122,672031,M
678041,673672,672451,M
678051,673682,672051,M
681521,676972,676931,M
678071,672461,672061,M
678271,674132,675971,M
680331,672842,675981,M
678291,672822,677001,M
682461,676962,677081,M
678311,674112,675991,M
678321,675982,675331,M
678261,678472,674131,M
678331,672062,673581,M
677712,675312,674051,F
677722,673572,672011,F
677732,672832,675911,F
681522,676972,676931,F
677762,672862,674061,F
678061,675932,679221,M
677702,674072,680531,F
678251,675272,673571,M
677742,675282,672021,F
678231,675952,674121,M
678241,672052,673681,M
678091,675992,674091,M
678111,673552,673661,M
678121,674052,674101,M
678131,672012,672462,M
678141,673662,674111,M
681551,676942,676971,M
678101,672852,673651,M
678171,672022,675311,M
679561,672452,673671,M
678161,673642,675961,M
678211,677002,676991,M
678081,675922,675951,M
678191,680742,676981,M
678181,677092,677061,M
678201,674092,680211,M
