id,dam,sire,sex
11430108,990010,990330,F
11430205,990022,990555,F
11430308,990030,990264,F
11430508,990045,990516,F
11430605,990058,990170,F
11430807,990076,990535,F
11430906,990086,990601,F
11431008,990097,990457,F
114311906,990108,990248,F
114312905,990122,990419,F
11431306,990138,990324,F
11431405,990146,990423,F
11431508,990159,990614,F
11431608,990166,990013,F
11431707,990172,990033,F
11431808,990175,990481,F
11431908,990184,990506,F
11432005,990188,990177,F
11432108,990195,990376,F
11432205,990223,990253,F
11432306,990208,990187,F
11432406,990219,990026,F
11432508,990237,990401,F
11432608,990245,990312,F
11432707,990260,990091,F
11432807,990269,990051,F
11432905,990276,990027,F
11433007,990287,990565,F
11433107,990300,990543,F
11433208,990305,990242,F
11433308,990321,990295,F
11433405,990326,990150,F
11433507,990335,990000,F
11433606,990346,990212,F
11433705,990355,990589,F
11433807,990369,990354,F
11433907,990381,990364,F
11434007,990394,990118,F
11434205,990414,990389,F
11434307,990415,990476,F
11434408,990420,990061,F
11434506,990431,990140,F
11434608,990443,990194,F
11434706,990452,990128,F
114348906,990461,990082,F
11434907,990471,990341,F
11435006,990472,990084,F
11435106,990477,990106,F
11435206,990478,990436,F
11435305,990486,990173,F
11435406,990501,990447,F
11435408,990501,990447,F
11435507,990514,990070,F
11435607,990522,990226,F
11435706,990537,990203,F
11435806,990548,990525,F
11435906,990561,990495,F
11436008,990572,990408,F
11436105,990582,990302,F
11436205,990595,990274,F
11436306,990604,990281,F
11436405,990614,990578,F
11430102,990010,990330,M
11430202,990022,990555,M
11430303,990030,990264,M
11430403,990041,990162,M
11430501,990045,990516,M
11430601,990058,990170,M
11430801,990076,990535,M
11430903,990086,990601,M
11431002,990097,990457,M
11431102,990108,990248,M
11431201,990122,990419,M
11431301,990138,990324,M
11431501,990159,990614,M
11431602,990166,990013,M
11431704,990172,990033,M
11431802,990175,990481,M
11431903,990184,990506,M
11432001,990188,990177,M
11432104,990195,990376,M
11432203,990223,990253,M
11432302,990208,990187,M
11432404,990219,990026,M
11432501,990237,990401,M
11432601,990245,990312,M
11432603,990245,990312,M
11432703,990260,990091,M
11432802,990269,990051,M
11432901,990276,990027,M
11433002,990287,990565,M
11433102,990300,990543,M
11433204,990305,990242,M
11433303,990321,990295,M
11433402,990326,990150,M
11433503,990335,990000,M
11433603,990346,990212,M
11433703,990355,990589,M
11433802,990369,990354,M
11433903,990381,990364,M
11434003,990394,990118,M
11434101,990403,990043,M
11434201,990414,990389,M
11434303,990415,990476,M
11434404,990420,990061,M
11434502,990431,990140,M
11434604,990443,990194,M
11434704,990452,990128,M
11434804,990461,990082,M
11434901,990471,990341,M
11435002,990472,990084,M
11435101,990477,990106,M
11435204,990478,990436,M
11435304,990486,990173,M
11435402,990501,990447,M
11435503,990514,990070,M
11435604,990522,990226,M
11435703,990537,990203,M
11435803,990548,990525,M
11435904,990561,990495,M
11436002,990572,990408,M
11436103,990582,990302,M
11436201,990595,990274,M
11436302,990604,990281,M
11436404,990614,990578,M
11430405,990162,990041,F
11430506,990516,990045,F
11430705,990467,990065,M
114311908,990248,990108,F
11434006,990118,990394,F
11435506,990070,990514,F
11432604,990312,990245,M
11431006,990457,990097,F
