id,dam,sire,sex
990000,802732,802791,M
990010,802732,802791,F
990013,802742,803731,M
990022,802742,803731,F
990026,803192,803491,M
990027,803192,803491,M
990030,803192,803491,F
990033,802782,803351,M
990041,802782,803351,F
990043,799356,803481,M
990045,799356,803481,F
990051,802852,802921,M
990058,802852,802921,F
990061,803362,803501,M
990065,803362,803501,F
990070,799346,803072,M
990076,799346,803072,F
990082,802812,803332,M
990084,802812,803332,M
990086,802812,803332,F
990091,802704,803231,M
990097,802704,803231,F
990106,802752,802891,M
990108,802752,802891,F
990118,803052,802091,M
990122,803052,802091,F
990128,802832,802821,M
990138,802832,802821,F
990140,803063,803243,M
990146,803063,803243,F
990150,802932,802801,M
990159,802932,802801,F
990162,803402,803381,M
990166,803402,803381,F
990170,802722,802971,M
990172,802722,802971,F
990173,802862,803321,M
990175,802862,803321,F
990177,803263,803371,M
990184,803263,803371,F
990187,802882,802741,M
990188,802882,802741,F
990194,803502,802703,M
990195,803502,802703,F
990203,803492,802781,M
990208,803492,802781,F
990212,802822,802851,M
990219,802822,802851,F
990223,802822,802851,F
990226,803482,799355,M
990237,803482,799355,F
990242,802792,802751,M
990245,802792,802751,F
990248,802922,803191,M
990253,802922,803191,M
990260,802922,803191,F
990264,803352,803361,M
990269,803352,803361,F
990274,803244,803062,M
990276,803244,803062,F
990281,802892,802861,M
990287,802892,802861,F
990295,802802,802931,M
990300,802802,802931,F
990302,803073,802811,M
990305,803073,802811,F
990312,802972,803401,M
990321,802972,803401,F
990324,803232,799345,M
990326,803232,799345,F
990330,802092,802831,M
990335,802092,802831,F
990341,803382,803262,M
990346,803382,803262,F
990354,803322,802721,M
990355,803322,802721,F
990364,803372,802731,M
990369,803372,802731,F
990376,803732,802881,M
990381,803732,802881,F
990389,803944,805571,M
990394,803944,805571,F
990401,803844,799375,M
990403,803844,799375,F
990408,805034,803813,M
990414,805034,803813,F
990415,805034,803813,F
990419,804324,804331,M
990420,804324,804331,F
990423,803794,804023,M
990431,803794,804023,F
990436,803575,803923,M
990443,803575,803923,F
990447,803614,803933,M
990452,803614,803933,F
990457,803582,803873,M
990461,803582,803873,F
990467,803622,803953,M
990471,803622,803953,F
990472,803622,803953,F
990476,804182,804503,M
990477,804182,804503,F
990478,804182,804503,F
990481,803884,803574,M
990486,803884,803574,F
990495,805572,804361,M
990501,805572,804361,F
990506,803814,803943,M
990514,803814,803943,F
990516,799376,804181,M
990522,799376,804181,F
990525,804024,803613,M
990535,803924,803883,M
990537,803924,803883,F
990543,804504,803843,M
990548,804504,803843,F
990555,803954,803793,M
990561,803954,803793,F
990565,804332,804323,M
990572,804332,804323,F
990578,805164,803351,M
990582,805164,803351,F
990589,803352,803621,M
990595,803352,803621,F
990601,803874,803581,M
990604,803874,803581,F
990612,804362,804941,M
990614,804362,804941,F
