id,dam,sire,sex
725915,724091,724042,M
726221,723952,724652,M
726265,723332,725031,M
725945,723342,723801,M
725935,724641,723402,M
725973,723362,724572,M
725954,723372,724482,M
725963,723382,724112,M
726681,724481,723951,M
726671,723401,723131,M
726231,723412,723862,M
726251,723422,723515,M
726181,724571,723872,M
726191,724541,723191,M
726201,724551,723911,M
726631,724002,723981,M
726013,723391,723931,M
726601,724041,724092,M
725321,723711,723841,M
725435,725032,724465,M
725251,723912,723341,M
725261,723861,723622,M
725271,723932,723712,M
726321,723621,723371,M
725292,723871,724071,M
725301,723702,723381,M
725312,723132,724001,M
725335,723772,724051,M
725345,723802,724552,M
725351,723842,723501,M
725363,723192,724542,M
725375,724141,723971,M
725383,723972,723361,M
725391,723982,723331,M
725405,724072,723354,M
726501,724111,723411,M
726561,724052,724131,M
725441,724031,723392,M
726691,724651,723701,M
726881,724466,723771,M
726211,723502,724021,M
726014,723391,723931,F
726672,723401,723131,F
726232,723412,723862,F
726252,723422,723515,F
726682,724481,723951,F
726182,724571,723872,F
726192,724541,723191,F
726202,724551,723911,F
726882,724466,723771,F
726692,724651,723701,F
726892,724472,724761,F
726212,723502,724021,F
726902,724751,723421,F
726242,724762,724471,F
733251,733241,733231,M
733321,733311,733301,M
733451,733352,733441,M
733581,733571,733561,M
733542,733531,733122,M
733371,733361,733351,F
733541,733531,733122,F
733452,733352,733441,F
733522,733511,733501,F
733252,733241,733231,F
733582,733571,733561,F
733322,733311,733301,F
726891,724472,724761,M
725964,723382,724112,F
725955,723372,724482,F
733372,733361,733351,M
725936,724641,723402,F
726901,724751,723421,M
725974,723362,724572,F
726241,724762,724471,M
725252,723912,723341,F
725262,723861,723622,F
725272,723932,723712,F
725291,723871,724071,F
725302,723702,723381,F
725311,723132,724001,F
725322,723711,723841,F
725336,723772,724051,F
725346,723802,724552,F
725352,723842,723501,F
725364,723192,724542,F
726322,723621,723371,F
725384,723972,723361,F
725376,724141,723971,F
726651,723342,723801,F
726222,723952,724652,F
725916,724091,724042,F
726266,723332,725031,F
726602,724041,724092,F
726632,724002,723981,F
725436,725032,724465,F
725424,724052,724131,F
725415,724111,723411,F
725406,724072,723354,F
725392,723982,723331,F
725442,724031,723392,F
