id,dam,sire,sex
734391,733522,733123,F
733822,733113,733065,F
732281,727872,727763,M
731881,727814,729101,M
732031,727952,728061,M
731511,727884,727831,M
732041,727892,727991,M
732671,727972,727951,M
732061,729792,728021,M
731681,727982,727911,M
731661,727902,728051,M
731361,728082,727733,M
732321,728092,727851,M
731831,727992,729031,M
732831,729102,728071,M
732241,730202,727891,M
732433,728012,727933,M
731751,728032,729361,M
732291,728052,727771,M
731981,729072,729791,M
731741,727912,727801,M
732051,727922,727783,M
731841,729522,727981,M
732231,728062,727813,M
731671,729362,728031,M
731821,727934,727791,M
731951,729352,727715,M
731871,727824,727753,M
733762,733061,723011,M
734002,733121,733091,M
731501,728022,727841,M
733772,722921,733112,M
731701,729052,728011,M
731941,727852,727871,M
733811,733322,722924,F
734121,733582,733542,F
733991,733252,733422,F
734111,733092,733472,F
734101,733402,733372,F
734381,723013,733602,F
734371,733452,733272,F
734361,733172,733192,F
733801,733601,733581,F
734351,733541,733521,F
734241,733471,733451,F
733791,733421,733401,F
734251,733371,733321,F
731561,727942,727901,M
733981,733271,733251,F
731691,728661,727723,M
732081,728072,729351,M
731541,727743,727724,M
731921,727734,729051,M
732091,728711,729521,M
731551,727754,727941,M
731711,729451,727971,M
731521,727772,728081,M
731891,727784,727823,M
731901,727832,729071,M
731651,727792,727921,M
731911,727842,727883,M
732071,727802,728091,M
733781,733191,733171,F
733782,733191,733171,M
733982,733271,733251,M
734252,733371,733321,M
732242,730202,727891,F
732282,727872,727763,F
731882,727814,729101,F
732032,727952,728061,F
731512,727884,727831,F
732042,727892,727991,F
732672,727972,727951,F
732062,729792,728021,F
731682,727982,727911,F
731662,727902,728051,F
731362,728082,727733,F
732322,728092,727851,F
731832,727992,729031,F
731702,729052,728011,F
732271,729102,728071,F
731502,728022,727841,F
731752,728032,729361,F
732292,728052,727771,F
731982,729072,729791,F
731742,727912,727801,F
732052,727922,727783,F
731842,729522,727981,F
732232,728062,727813,F
731672,729362,728031,F
731822,727934,727791,F
731952,729352,727715,F
731872,727824,727753,F
733761,733061,723011,F
732434,728012,727933,F
731562,727942,727901,F
731942,727852,727871,F
732072,727802,728091,F
733792,733421,733401,M
734242,733471,733451,M
734352,733541,733521,M
733802,733601,733581,M
734362,733172,733192,M
734372,733452,733272,M
734382,723013,733602,M
734102,733402,733372,M
734392,733522,733123,M
734112,733092,733472,M
733992,733252,733422,M
734122,733582,733542,M
733812,733322,722924,M
733821,733113,733065,M
735121,728011,729052,M
735051,733472,733092,M
735561,727724,727743,M
731692,728661,727723,F
732082,728072,729351,F
731542,727743,727724,F
731922,727734,729051,F
732092,728711,729521,F
731552,727754,727941,F
731712,729451,727971,F
731522,727772,728081,F
731892,727784,727823,F
731902,727832,729071,F
731652,727792,727921,F
731912,727842,727883,F
734001,733121,733091,F
735044,727971,729451,F
733771,722921,733112,F
735461,727901,727942,F
735111,733321,733371,F
