id,dam,sire,sex
713832,708862,709301,F
713811,708812,708861,M
713721,708682,709141,M
713731,708983,709151,M
713581,708952,709161,M
713501,708692,709171,M
713771,709072,709181,M
713481,709112,709191,M
713851,709022,709201,M
713591,709092,709211,M
713921,708872,709231,M
713931,708912,709233,M
713531,708992,709241,M
713451,708702,709131,M
713981,709202,713051,M
713701,709122,709271,M
714041,716962,709281,M
713601,709032,709291,M
713831,708862,709301,M
713682,708982,708671,F
713892,709302,708681,F
713712,709282,708691,F
713512,709132,708701,F
713492,709262,708711,F
713942,709292,708721,F
713462,709182,708731,F
713961,711102,709261,M
713912,709232,708741,F
713821,709272,709121,M
713871,708792,709101,M
713561,709192,708891,M
714021,710772,708901,M
713421,708892,708911,M
713991,709052,716871,M
713621,708732,708921,M
713611,708672,708931,M
713471,709142,708941,M
714031,708852,716961,M
713431,709152,708951,M
713901,708942,708961,M
714011,716872,708971,M
713651,709172,709111,M
713951,708882,708981,M
714051,713052,709001,M
713541,709062,709011,M
720171,709002,709021,M
713671,708972,709031,M
713631,708902,709041,M
713521,708712,709051,M
713641,709012,709061,M
713841,709042,709071,M
713691,708722,709081,M
713441,709212,709091,M
713971,709162,711101,M
713571,708932,708991,M
713551,708922,708881,M
713882,709242,708761,F
713662,709082,708791,F
713842,709042,709071,F
713692,708722,709081,F
713442,709212,709091,F
713972,709162,711101,F
713872,708792,709101,F
713652,709172,709111,F
713822,709272,709121,F
713452,708702,709131,F
713722,708682,709141,F
713732,708983,709151,F
713582,708952,709161,F
713642,709012,709061,F
713502,708692,709171,F
713482,709112,709191,F
713852,709022,709201,F
713592,709092,709211,F
713922,708872,709231,F
713932,708912,709233,F
713532,708992,709241,F
713982,709202,713051,F
713962,711102,709261,F
713702,709122,709271,F
714042,716962,709281,F
713602,709032,709291,F
713772,709072,709181,F
713782,708842,708781,F
713522,708712,709051,F
713672,708972,709031,F
713742,709102,708801,F
713802,708802,708811,F
714002,708762,710771,F
713862,708782,708841,F
713792,708742,708851,F
713812,708812,708861,F
713752,708962,708871,F
713552,708922,708881,F
713562,709192,708891,F
714022,710772,708901,F
713422,708892,708911,F
713632,708902,709041,F
713992,709052,716871,F
713612,708672,708931,F
713472,709142,708941,F
714032,708852,716961,F
713432,709152,708951,F
713902,708942,708961,F
714012,716872,708971,F
713952,708882,708981,F
713572,708932,708991,F
714052,713052,709001,F
713542,709062,709011,F
720172,709002,709021,F
713622,708732,708921,F
713751,708962,708871,M
713881,709242,708761,M
713711,709282,708691,M
713681,708982,708671,M
713891,709302,708681,M
713511,709132,708701,M
713491,709262,708711,M
713461,709182,708731,M
713911,709232,708741,M
713941,709292,708721,M
713661,709082,708791,M
713741,709102,708801,M
713801,708802,708811,M
714001,708762,710771,M
713861,708782,708841,M
713781,708842,708781,M
713791,708742,708851,M
