id,dam,sire,sex
11990102,11980110,11983904,M
11990204,11980309,11980601,M
11990304,11980311,11980714,M
11990502,11980511,11984201,M
11990602,11980609,11982304,M
11990804,11980810,11982202,M
11991003,11981009,11985606,M
11991103,11981010,11980404,M
11991202,11981112,11981901,M
11991302,11981209,11984101,M
11991402,11981311,11982903,M
11991502,11981412,11981504,M
11991508,11981412,11981504,F
11991701,11981511,11985203,M
11991706,11981511,11985203,F
11991804,11981612,11983504,M
11991806,11981612,11983504,F
11991808,11981612,11983504,F
11992103,11981910,11982703,M
11992107,11981910,11982703,F
11992108,11981910,11982703,F
11992202,11982011,11980101,M
11992207,11982011,11980101,F
11992302,11982110,11984502,M
11992404,11982213,11980901,M
11992405,11982213,11980901,F
11992502,11982313,11983602,M
11992508,11982313,11983602,F
11992706,11982510,11986203,F
11992803,11982610,11986103,M
11992808,11982610,11986103,F
11992905,11982711,11985303,F
11993005,11982713,11983806,F
11993104,11982810,11985301,M
11993106,11982810,11985301,F
11993206,11982811,11985008,F
11993302,11982911,11981803,M
11993305,11982911,11981803,F
11993403,11983114,11985003,M
11993406,11983114,11985003,F
11993407,11983114,11985003,F
11993503,11983115,11980405,M
11993508,11983115,11980405,F
11993601,11983414,11984302,M
11993701,11983511,11985706,M
11993702,11983511,11985706,M
11993706,11983511,11985706,F
11993804,11983512,11984503,M
11993903,11983611,11981304,M
11994001,11983709,11984702,M
11994008,11983709,11984702,F
11994103,11983811,11984902,M
11994106,11983811,11984902,F
11994202,11983909,11982401,M
11994207,11983909,11982401,F
11994302,11984011,11984403,M
11994303,11984011,11984403,M
11994306,11984011,11984403,F
11994307,11984011,11984403,F
11994404,11984111,11980803,M
11994406,11984111,11980803,F
11994501,11984210,11981202,M
11994507,11984210,11981202,F
11994602,11984211,11981204,M
11994605,11984211,11981204,F
11994706,11984310,11981302,F
11994801,11984409,11983704,M
11994807,11984409,11983704,F
11994903,11984414,11985608,M
11994907,11984414,11985608,F
11995001,11984511,11981602,M
11995008,11984511,11981602,F
11995102,11984710,11982104,M
11995203,11984810,11982605,M
11995206,11984810,11982605,F
11995301,11984910,11981105,M
11995307,11984910,11981105,F
11995308,11984910,11981105,F
11995401,11984911,11981003,M
11995407,11984911,11981003,F
11995603,11985109,11984006,M
11995606,11984910,11981105,F
11995703,11985112,11984108,M
11995708,11985112,11984108,F
11995803,11985213,11983201,M
11995806,11985213,11983201,F
11995807,11985213,11983201,F
11996001,11985413,11981604,M
11996008,11985413,11981604,F
11996104,11985509,11985402,M
11996107,11985509,11985402,F
11996202,11985511,11982004,M
11996205,11985511,11982004,F
11996206,11985511,11982004,F
11996207,11985511,11982004,F
11996305,11985610,11982505,F
11996306,11985610,11982505,F
11996401,11985710,11986401,M
11996405,11985710,11986401,F
11996407,11985710,11986401,F
11996502,11985409,11986302,M
11996508,11985409,11986302,F
11996701,11986215,11985201,M
11996707,11986215,11985201,F
11996803,11986313,11980503,M
11996807,11986313,11980503,F
11996808,11986313,11980503,F
11996903,11986410,11983605,M
11996905,11986410,11983605,F
11996907,11986410,11983605,F
11993008,11982713,11983806,F
