id,dam,sire,sex
686661,677912,677701,M
686671,678322,677711,M
692901,680332,677721,M
690951,677852,677731,M
686691,678332,677741,M
686701,680292,681521,M
686711,678192,677761,M
697341,678192,677761,M
686721,677792,677771,M
686731,681522,680291,M
686741,683032,677791,M
686751,678162,677801,M
686771,678182,677821,M
690301,678052,677831,M
687861,678032,677841,M
686781,677712,677851,M
686791,677742,682431,M
690311,677922,677871,M
686801,678242,681541,M
686811,681552,677891,M
686821,678002,680301,M
686831,677702,677911,M
686841,677802,677921,M
686851,677972,677931,M
686861,678272,677941,M
686871,681542,677951,M
686881,677952,677963,M
686891,677822,677971,M
690321,678102,682451,M
686901,677942,677991,M
686911,680302,678001,M
686921,678142,678011,M
690331,678062,687201,M
690341,677732,678031,M
686931,678072,678041,M
688811,677832,678051,M
686941,678012,678061,M
686951,677842,678071,M
686961,685702,678081,M
686971,678212,678091,M
686981,678042,678101,M
686991,678292,678111,M
687001,678172,678121,M
687011,677992,678131,M
687021,677964,678141,M
689971,677932,681551,M
687031,678092,678161,M
687881,682452,678171,M
690881,678112,678181,M
687051,678122,678191,M
687061,678082,678201,M
687891,687202,678211,M
687071,678232,679561,M
687081,677892,678231,M
687091,677762,678241,M
687871,678312,678251,M
687101,678202,678261,M
687111,678132,678271,M
687121,678252,680331,M
687131,677722,678291,M
688821,677872,682461,M
690351,678262,678311,M
687141,677812,678321,M
687151,679562,678331,M
686662,677912,677701,F
686672,678322,677711,F
686682,680332,677721,F
690952,677852,677731,F
686692,678332,677741,F
686702,680292,681521,F
686712,678192,677761,F
686722,677792,677771,F
686732,681522,680291,F
686742,683032,677791,F
686752,678162,677801,F
686772,678182,677821,F
690302,678052,677831,F
687862,678032,677841,F
686782,677712,677851,F
686792,677742,682431,F
690312,677922,677871,F
686802,678242,681541,F
689901,681552,677891,F
696211,681552,677891,F
686822,678002,680301,F
686832,677702,677911,F
686842,677802,677921,F
686852,677972,677931,F
686862,678272,677941,F
686872,681542,677951,F
686882,677952,677963,F
686892,677822,677971,F
690322,678102,682451,F
686902,677942,677991,F
686912,680302,678001,F
686922,678142,678011,F
690332,678062,687201,F
690342,677732,678031,F
686932,678072,678041,F
688812,677832,678051,F
686942,678012,678061,F
686952,677842,678071,F
686962,685702,678081,F
686972,678212,678091,F
686982,678042,678101,F
686992,678292,678111,F
687002,678172,678121,F
687012,677992,678131,F
687022,677964,678141,F
689972,677932,681551,F
687032,678092,678161,F
687882,682452,678171,F
687042,678112,678181,F
687052,678122,678191,F
687062,678082,678201,F
687892,687202,678211,F
687072,678232,679561,F
687082,677892,678231,F
687092,677762,678241,F
687872,678312,678251,F
687102,678202,678261,F
687112,678132,678271,F
687122,678252,680331,F
687132,677722,678291,F
688822,677872,682461,F
690352,678262,678311,F
687142,677812,678321,F
687152,679562,678331,F
