id,dam,sire,sex
694481,686932,686661,M
694021,687072,686671,M
695151,687052,692901,M
695161,687092,690951,M
694031,687082,686691,M
693131,687002,686701,M
694491,690352,686711,M
694501,688812,686721,M
694041,687142,686731,M
694051,686792,686741,M
694061,689972,686751,M
702151,696211,697341,M
696611,687862,686771,M
697641,687892,690301,M
694081,686682,687861,M
695141,690302,686781,M
694511,686752,686791,M
696311,687022,690311,M
694091,687042,686801,M
693141,686712,686811,M
694101,687152,686821,M
696301,686742,686831,M
693151,686912,686841,M
694521,689901,686851,M
694531,690332,686861,M
694541,690322,686871,M
694551,686992,686881,M
693161,687122,686891,M
694111,686822,690321,M
694561,686882,686901,M
693171,686842,686911,M
693181,686902,686921,M
694571,686892,690331,M
694581,686952,690341,M
695131,690952,686931,M
694591,686872,688811,M
694121,687062,686941,M
693191,686772,686951,M
694131,687102,686961,M
693201,686672,686971,M
693211,686782,686981,M
693221,686692,686991,M
694141,686852,687001,M
693231,686972,687011,M
693241,687012,687021,M
694151,686962,689971,M
693251,687112,687031,M
694601,687132,687881,M
695121,690312,690881,M
694611,686832,687051,M
693261,686922,687061,M
694621,686942,687891,M
694161,686862,687071,M
694631,687882,687081,M
694171,686732,687091,M
694641,688822,687871,M
694651,687872,687101,M
693271,686982,687111,M
696251,686702,687121,M
694661,686662,687131,M
694181,686722,688821,M
694191,687032,690351,M
694671,690342,687141,M
694201,686802,687151,M
694482,686932,686661,F
694022,687072,686671,F
695152,687052,692901,F
695162,687092,690951,F
694032,687082,686691,F
693132,687002,686701,F
694492,690352,686711,F
694502,688812,686721,F
694042,687142,686731,F
694052,686792,686741,F
694062,689972,686751,F
702152,696211,697341,F
696612,687862,686771,F
697642,687892,690301,F
694082,686682,687861,F
695142,690302,686781,F
694512,686752,686791,F
696312,687022,690311,F
694092,687042,686801,F
693142,686712,686811,F
694102,687152,686821,F
696302,686742,686831,F
693152,686912,686841,F
694522,689901,686851,F
694532,690332,686861,F
694542,690322,686871,F
694552,686992,686881,F
693162,687122,686891,F
694112,686822,690321,F
694562,686882,686901,F
693172,686842,686911,F
693182,686902,686921,F
694572,686892,690331,F
694582,686952,690341,F
695132,690952,686931,F
694592,686872,688811,F
694122,687062,686941,F
693192,686772,686951,F
694132,687102,686961,F
693202,686672,686971,F
693212,686782,686981,F
693222,686692,686991,F
694142,686852,687001,F
693232,686972,687011,F
693242,687012,687021,F
694152,686962,689971,F
693252,687112,687031,F
694602,687132,687881,F
695122,690312,690881,F
694612,686832,687051,F
693262,686922,687061,F
694622,686942,687891,F
694162,686862,687071,F
694632,687882,687081,F
694172,686732,687091,F
694642,688822,687871,F
694652,687872,687101,F
693272,686982,687111,F
696252,686702,687121,F
694662,686662,687131,F
694182,686722,688821,F
694192,687032,690351,F
694672,690342,687141,F
694202,686802,687151,F
