id,dam,sire,sex
708671,700952,699571,M
708681,704902,699581,M
708691,701122,700941,M
708701,701112,700951,M
708711,700752,700641,M
708721,699592,700971,M
708731,699572,700651,M
708741,700742,704901,M
716871,710392,699591,M
708761,700812,699601,M
708781,700942,699621,M
708791,699662,700981,M
708801,699672,700991,M
708811,699692,699631,M
710771,709772,710031,M
708841,703532,703521,M
708851,700712,700661,M
708861,700982,699651,M
708871,699652,703531,M
708881,701002,699671,M
708891,700972,703451,M
708901,699682,700691,M
708911,699712,699661,M
708921,701072,700721,M
708931,700772,701011,M
708941,699742,700701,M
716961,710321,709811,M
708951,699582,700711,M
708961,703542,701021,M
708971,699632,699681,M
708981,699602,699691,M
708991,700822,701031,M
709001,701062,701041,M
709011,701032,701051,M
709021,700692,700671,M
709031,699762,699701,M
709041,699702,700731,M
709051,700662,701061,M
709061,701022,699711,M
709071,703452,703541,M
709081,700722,699721,M
709091,700832,700741,M
711101,710511,710391,M
709101,703522,700751,M
709111,701082,699731,M
709121,701132,700761,M
709131,700762,700771,M
709141,701042,700781,M
709151,700652,701071,M
709161,700672,701081,M
709171,699622,700791,M
709181,699732,700801,M
709191,700732,700811,M
709201,701142,701091,M
709211,700702,699741,M
709231,701052,700821,M
709233,701052,700821,M
709241,701012,699751,M
713051,699752,701111,M
709261,700792,700831,M
709271,700802,701121,M
709281,701092,701131,M
709291,700642,701141,M
709301,700782,699761,M
708672,700952,699571,F
708682,704902,699581,F
708692,701122,700941,F
708702,701112,700951,F
708712,700752,700641,F
708722,699592,700971,F
708732,699572,700651,F
708742,700742,704901,F
708762,710392,699591,F
708782,700812,699601,F
708792,700942,699621,F
708802,699662,700981,F
708812,699672,700991,F
710772,699692,699631,F
708842,709772,710031,F
708852,703532,703521,F
708862,700712,700661,F
708872,700982,699651,F
708882,699652,703531,F
708892,701002,699671,F
708902,700972,703451,F
708912,699682,700691,F
716872,699712,699661,F
708922,701072,700721,F
708932,700772,701011,F
708942,699742,700701,F
716962,710321,709811,F
708952,699582,700711,F
708962,703542,701021,F
708972,699632,699681,F
708982,699602,699691,F
708983,699602,699691,F
708992,700822,701031,F
709002,701062,701041,F
709012,701032,701051,F
709022,700692,700671,F
709032,699762,699701,F
709042,699702,700731,F
709052,700662,701061,F
709062,701022,699711,F
709072,703452,703541,F
709082,700722,699721,F
709092,700832,700741,F
711102,710511,710391,F
709102,703522,700751,F
709112,701082,699731,F
709122,701132,700761,F
709132,700762,700771,F
709142,701042,700781,F
709152,700652,701071,F
709162,700672,701081,F
709172,699622,700791,F
709182,699732,700801,F
709192,700732,700811,F
709202,701142,701091,F
709212,700702,699741,F
709232,701052,700821,F
709242,701012,699751,F
713052,699752,701111,F
709262,700792,700831,F
709272,700802,701121,F
709282,701092,701131,F
709292,700642,701141,F
709302,700782,699761,F
