id,dam,sire,sex
745641,741552,742071,M
748301,741552,742071,M
745301,741892,741401,M
745771,741662,741141,M
746965,741662,741141,M
745951,742022,741271,M
745761,741362,742081,M
745631,741252,741921,M
748141,741252,741921,M
745621,741402,742041,M
745521,742082,742173,M
745832,742322,741211,M
747061,742322,741211,M
745371,741982,741671,M
745851,741952,742281,M
745911,742362,741481,M
748041,742362,741481,M
745041,741342,741561,M
747611,741342,741561,M
745061,741942,741931,M
745311,742002,741641,M
745431,742042,741451,M
745281,741352,741171,M
747521,741352,741171,M
745121,741452,741551,M
746581,742371,743391,M
745031,741112,741121,M
745611,741562,741981,M
746891,741562,741981,M
745511,741882,741681,M
745751,742052,741441,M
745841,741222,742011,M
745131,741422,741431,M
747531,741422,741431,M
745091,741792,741871,M
745941,741912,741161,M
745651,741162,741891,M
746921,741162,741891,M
746091,741212,741961,M
747151,741212,741961,M
748621,743392,741661,M
748623,743392,741661,M
745081,741232,741151,M
746049,741962,741131,M
747471,741962,741131,M
746371,742174,741471,M
747632,742174,741471,M
745961,741152,741911,M
745381,741432,741111,M
745591,741482,742051,M
746861,741482,742051,M
745601,741462,742061,M
746871,741462,742061,M
745991,741932,741281,M
747011,741932,741281,M
745391,741472,741221,M
745441,741332,741801,M
745401,741682,742001,M
747811,741682,742001,M
745921,741972,741231,M
747161,741972,741231,M
745111,741132,741361,M
747711,741132,741361,M
745351,742282,741951,M
747621,742282,741951,M
745821,741172,742021,M
745411,741922,741691,M
747701,741922,741691,M
746151,741672,741941,M
745981,741142,741461,M
747191,741142,741461,M
745661,741642,741791,M
747091,741642,741791,M
745741,742072,741421,M
746881,742072,741421,M
745421,741872,741341,M
748111,741872,741341,M
745681,742062,741411,M
748421,742062,741411,M
745971,741262,742031,M
746991,741262,742031,M
746381,741802,741261,M
745501,741412,741991,M
747911,741412,741991,M
745321,741692,741971,M
745051,741652,741771,M
747841,741652,741771,M
745101,741992,741881,M
747751,741992,741881,M
745341,742032,742321,M
745671,741772,741251,M
748401,741772,741251,M
745931,741272,742361,M
745361,742012,741651,M
745021,741122,741351,M
745071,741442,741331,M
745642,741552,742071,F
745302,741892,741401,F
748081,741892,741401,F
745772,741662,741141,F
745952,742022,741271,F
747271,742022,741271,F
745762,741362,742081,F
747211,741362,742081,F
745632,741252,741921,F
745622,741402,742041,F
745522,742082,742173,F
747941,742082,742173,F
748131,741402,742041,F
745833,742322,741211,F
745372,741982,741671,F
745852,741952,742281,F
747035,741952,742281,F
745912,742362,741481,F
745042,741342,741561,F
745062,741942,741931,F
747741,741942,741931,F
745312,742002,741641,F
747921,742002,741641,F
745432,742042,741451,F
747801,742042,741451,F
745282,741352,741171,F
745122,741452,741551,F
747821,741452,741551,F
746582,742371,743391,F
745032,741112,741121,F
747461,741112,741121,F
745612,741562,741981,F
746892,741562,741981,F
745512,741882,741681,F
748101,741882,741681,F
745752,742052,741441,F
747081,742052,741441,F
745842,741222,742011,F
748071,741222,742011,F
745132,741422,741431,F
745092,741792,741871,F
747281,741792,741871,F
745942,741912,741161,F
746971,741912,741161,F
745652,741162,741891,F
746922,741162,741891,F
746092,741212,741961,F
748622,743392,741661,F
745082,741232,741151,F
747481,741232,741151,F
7460410,741962,741131,F
747631,742174,741471,F
745962,741152,741911,F
747201,741152,741911,F
745382,741432,741111,F
748311,741432,741111,F
745592,741482,742051,F
746862,741482,742051,F
745602,741462,742061,F
746872,741462,742061,F
745992,741932,741281,F
745392,741472,741221,F
745442,741332,741801,F
747601,741332,741801,F
745402,741682,742001,F
745922,741972,741231,F
745112,741132,741361,F
745352,742282,741951,F
745822,741172,742021,F
747181,741172,742021,F
745412,741922,741691,F
746152,741672,741941,F
747831,741672,741941,F
745982,741142,741461,F
745662,741642,741791,F
745742,742072,741421,F
745422,741872,741341,F
745682,742062,741411,F
745972,741262,742031,F
746382,741802,741261,F
747731,741802,741261,F
745502,741412,741991,F
752743,741412,741991,F
745322,741692,741971,F
745052,741652,741771,F
745102,741992,741881,F
745342,742032,742321,F
747931,742032,742321,F
745672,741772,741251,F
745932,741272,742361,F
748501,741272,742361,F
745362,742012,741651,F
747951,742012,741651,F
745022,741122,741351,F
747451,741122,741351,F
745072,741442,741331,F
747641,741442,741331,F
