id,dam,sire,sex
809181,804702,802461,M
812511,806622,809251,M
809341,804292,802151,M
813071,802032,801751,M
813091,801652,802661,M
812521,806632,808241,M
809451,802652,801781,M
813621,801932,801731,M
809041,802662,803541,M
808781,804142,803031,M
809311,803782,801621,M
812531,808412,806691,M
812631,802152,802471,M
808531,802262,801701,M
809161,801762,801691,M
809481,805562,802501,M
809241,802272,802841,M
812931,803542,802021,M
808791,801442,802491,M
808541,801662,802011,M
810741,801772,802141,M
809151,803552,805271,M
808911,802482,801651,M
808521,801752,801761,M
809671,801622,803781,M
813171,801432,802131,M
809201,801712,803251,M
812235,802462,804701,M
808851,802012,803001,M
808921,803252,801931,M
812541,809391,806621,M
808891,802842,801721,M
808751,802372,802271,M
809461,803002,802371,M
811571,801722,806681,M
808901,801732,801611,M
808511,802492,801981,M
810131,802142,801741,M
814351,802132,805561,M
812551,801982,806631,M
808861,802022,802511,M
808881,802042,802951,M
809141,801742,803551,M
811561,806652,804291,M
808561,801692,801771,M
809191,802592,801951,M
812561,810711,811001,M
808761,801612,801711,M
812571,806682,801631,M
811581,806692,801431,M
809081,801952,802591,M
811941,806702,801661,M
811541,802472,806661,M
809321,802952,802041,M
809491,805272,802031,M
809101,801782,803751,M
809231,803752,802261,M
809221,802172,803761,M
808821,802512,802651,M
811551,804712,806701,M
812581,808461,806651,M
808771,803032,802481,M
808871,802502,801681,M
812591,809711,809361,M
809182,804702,802461,F
812512,806622,809251,F
809342,804292,802151,F
808492,802032,801751,F
809332,801652,802661,F
812522,806632,808241,F
809452,802652,801781,F
808482,801932,801731,F
809042,802662,803541,F
809821,804142,803031,F
809312,803782,801621,F
812532,808412,806691,F
808502,802152,802471,F
808532,802262,801701,F
809162,801762,801691,F
809482,805562,802501,F
809242,802272,802841,F
809212,803542,802021,F
813081,801442,802491,F
808542,801662,802011,F
808552,801772,802141,F
813791,803552,805271,F
808912,802482,801651,F
808522,801752,801761,F
809672,801622,803781,F
813172,801432,802131,F
809202,801712,803251,F
809172,802462,804701,F
813641,802012,803001,F
813261,803252,801931,F
812542,809391,806621,F
808892,802842,801721,F
808752,802372,802271,F
809462,803002,802371,F
811572,801722,806681,F
808902,801732,801611,F
808512,802492,801981,F
810132,802142,801741,F
809472,802132,805561,F
812552,801982,806631,F
812101,802022,802511,F
808882,802042,802951,F
814371,801742,803551,F
811562,806652,804291,F
808562,801692,801771,F
809192,802592,801951,F
812562,810711,811001,F
808762,801612,801711,F
812572,806682,801631,F
811582,806692,801431,F
809082,801952,802591,F
811942,806702,801661,F
811542,802472,806661,F
809322,802952,802041,F
809492,805272,802031,F
809102,801782,803751,F
809232,803752,802261,F
809222,802172,803761,F
808822,802512,802651,F
811552,804712,806701,F
812582,808461,806651,F
808772,803032,802481,F
808872,802502,801681,F
812592,809711,809361,F
