id,dam,sire,sex
814231,809182,809101,M
816791,812512,812531,M
814611,809342,808511,M
815081,808492,809481,M
816301,809332,812591,M
815601,812522,812631,M
814601,809452,808851,M
814241,808482,808541,M
814221,809042,809231,M
816861,809821,808871,M
817011,809312,809341,M
815591,812532,812235,M
817511,808502,809451,M
817031,808532,808821,M
814191,809162,808921,M
815581,809482,811541,M
816871,809242,808521,M
814021,809212,809151,M
815921,813081,812551,M
814921,808542,811571,M
814011,808552,808901,M
816821,813791,812521,M
814201,808912,809201,M
814631,808522,809241,M
814721,809672,809141,M
816281,813172,811561,M
814061,809202,808891,M
814161,809172,810131,M
817121,813641,812541,M
817111,813261,812511,M
817131,812542,812571,M
814051,808892,808751,M
814031,808752,808781,M
814181,809462,809491,M
817211,811572,811581,M
814381,808902,808791,M
815331,808512,812581,M
814251,810132,808881,M
814331,809472,809671,M
816131,812552,813071,M
815911,812101,811551,M
814441,808882,809191,M
817141,814371,812561,M
816781,811562,813171,M
814232,809182,809101,F
816792,812512,812531,F
817771,809342,808511,F
815082,808492,809481,F
817002,809332,812591,F
815602,812522,812631,F
814602,809452,808851,F
817441,808482,808541,F
814222,809042,809231,F
814732,809821,808871,F
814172,809312,809341,F
815592,812532,812235,F
814742,808502,809451,F
814322,808532,808821,F
814192,809162,808921,F
814791,809482,811541,F
814592,809242,808521,F
814022,809212,809151,F
815922,813081,812551,F
814922,808542,811571,F
814012,808552,808901,F
816822,813791,812521,F
814202,808912,809201,F
814632,808522,809241,F
814722,809672,809141,F
816282,813172,811561,F
817041,809202,808891,F
817391,809172,810131,F
817122,813641,812541,F
817112,813261,812511,F
817132,812542,812571,F
814052,808892,808751,F
814032,808752,808781,F
814182,809462,809491,F
815102,811572,811581,F
814382,808902,808791,F
815332,808512,812581,F
814252,810132,808881,F
817942,809472,809671,F
816132,812552,813071,F
815912,812101,811551,F
814442,808882,809191,F
817142,814371,812561,F
816782,811562,813171,F
