id,dam,sire,sex
761821,757503,758342,M
762421,759203,757091,M
760471,757062,756981,M
763481,758223,757051,M
762391,758003,757071,M
760621,757052,757611,M
762441,758423,757561,M
760461,757583,757081,M
763241,759533,757592,M
760571,756932,757711,M
762801,757082,758421,M
761541,758322,758012,M
762061,756922,757522,M
761591,757142,757541,M
761121,757993,757761,M
761471,756961,757601,M
762021,758253,759251,M
760631,758083,758101,M
762171,757553,758961,M
760811,758073,758061,M
764721,758033,758021,M
761441,757563,757011,M
760401,757312,757431,M
762261,757973,756851,M
760451,757102,756921,M
760611,756882,756971,M
761841,757042,758071,M
762681,757022,758311,M
764481,758213,758962,M
762281,758313,757131,M
760831,758053,758331,M
760821,758013,758091,M
760921,758243,757972,M
760581,757422,758151,M
761881,757493,758341,M
761671,757623,758201,M
760801,757612,757031,M
761901,757072,757971,M
763541,759701,759271,M
764321,757533,758302,M
761871,757382,758281,M
762781,756972,758271,M
760601,758093,758161,M
761531,757402,757751,M
761491,758303,758112,M
761511,758022,758222,M
762231,758293,757572,M
763721,757713,757111,M
769321,757713,757111,M
763551,759491,759521,M
762111,758043,758391,M
761951,756802,758241,M
762211,757442,758111,M
762051,758103,757381,M
760591,757362,758001,M
761891,757763,758291,M
760541,756912,757521,M
763884,758913,758661,M
762081,757602,757982,M
762071,757012,757981,M
762401,758113,757441,M
761661,757753,758251,M
761521,757523,758051,M
761571,758063,758231,M
762241,757593,758242,M
762031,758153,757061,M
761091,757122,757001,M
760561,756942,757571,M
761681,757543,757121,M
761651,757723,757531,M
761561,757412,757991,M
762151,757563,757011,M
762751,758163,756801,M
760551,756852,758041,M
761601,758543,758292,M
763392,757032,758221,M
764121,758343,757491,M
761481,757573,756911,M
764541,757352,758011,M
762411,758333,756931,M
761931,757983,757021,M
762771,757132,758211,M
764251,758283,758261,M
762701,757112,759201,M
762321,758203,757311,M
761631,758233,758031,M
761131,757002,757141,M
761151,757392,757501,M
762821,756982,758252,M
764641,757092,758321,M
761141,758963,758212,M
761822,757503,758342,F
762422,759203,757091,F
760472,757062,756981,F
763482,758223,757051,F
762392,758003,757071,F
760622,757052,757611,F
762442,758423,757561,F
760462,757583,757081,F
763242,759533,757592,F
760572,756932,757711,F
762802,757082,758421,F
761542,758322,758012,F
763681,756922,757522,F
761592,757142,757541,F
761122,757993,757761,F
761472,756961,757601,F
762022,758253,759251,F
760632,758083,758101,F
762172,757553,758961,F
760812,758073,758061,F
764722,758033,758021,F
761442,757563,757011,F
760402,757312,757431,F
762262,757973,756851,F
760452,757102,756921,F
760612,756882,756971,F
761842,757042,758071,F
762682,757022,758311,F
764482,758213,758962,F
762282,758313,757131,F
760832,758053,758331,F
760822,758013,758091,F
760922,758243,757972,F
760582,757422,758151,F
761882,757493,758341,F
761672,757623,758201,F
760802,757612,757031,F
761902,757072,757971,F
765047,759701,759271,F
764322,757533,758302,F
761872,757382,758281,F
770361,757382,758281,F
762782,756972,758271,F
760602,758093,758161,F
761532,757402,757751,F
761492,758303,758112,F
761512,758022,758222,F
762232,758293,757572,F
762131,757713,757111,F
763552,759491,759521,F
762112,758043,758391,F
761952,756802,758241,F
762212,757442,758111,F
762052,758103,757381,F
760592,757362,758001,F
761892,757763,758291,F
760542,756912,757521,F
763885,758913,758661,F
762082,757602,757982,F
762072,757012,757981,F
762402,758113,757441,F
761662,757753,758251,F
761522,757523,758051,F
763771,758063,758231,F
762242,757593,758242,F
762032,758153,757061,F
761092,757122,757001,F
760562,756942,757571,F
761682,757543,757121,F
761652,757723,757531,F
761562,757412,757991,F
762152,757563,757011,F
762752,758163,756801,F
760552,756852,758041,F
761602,758543,758292,F
763393,757032,758221,F
764122,758343,757491,F
761482,757573,756911,F
765352,757573,756911,F
762412,758333,756931,F
761932,757983,757021,F
762772,757132,758211,F
764252,758283,758261,F
762702,757112,759201,F
762322,758203,757311,F
761632,758233,758031,F
761132,757002,757141,F
761152,757392,757501,F
762822,756982,758252,F
764642,757092,758321,F
761142,758963,758212,F
